,3
num_blocks,1
n_epochs,10
input_chunk_length,36
hidden_size,64
ff_size,96
dropout,0.1
output_chunk_length,24
add_encoders,"{'cyclic': {'future': ['hour', 'day', 'dayofweek', 'week', 'month']}, 'datetime_attribute': {'future': ['hour', 'day', 'dayofweek', 'week', 'month']}, 'position': {'past': ['relative'], 'future': ['relative']}, 'custom': {'past': [<function encode_year at 0x7b6ac5d52200>], 'future': [<function encode_year at 0x7b6ac5d52200>]}, 'transformer': Scaler, 'tz': 'CET'}"
pl_trainer_kwargs,"{'accelerator': 'gpu', 'devices': [0]}"
RMSE,45.833891869845694
